Country{code='ZMB', name='Zambia', continent='Africa', region='Eastern Africa', population=9169000, capital=3162}
Country{code='SWE', name='Sweden', continent='Europe', region='Nordic Countries', population=8861400, capital=3048}
Country{code='DOM', name='Dominican Republic', continent='North America', region='Caribbean', population=8495000, capital=587}
Country{code='BOL', name='Bolivia', continent='South America', region='South America', population=8329000, capital=194}
Country{code='HTI', name='Haiti', continent='North America', region='Caribbean', population=8222000, capital=929}
Country{code='BGR', name='Bulgaria', continent='Europe', region='Eastern Europe', population=8190900, capital=539}
Country{code='AUT', name='Austria', continent='Europe', region='Western Europe', population=8091800, capital=1523}
Country{code='AZE', name='Azerbaijan', continent='Asia', region='Middle East', population=7734000, capital=144}
Country{code='RWA', name='Rwanda', continent='Africa', region='Eastern Africa', population=7733000, capital=3047}
Country{code='TCD', name='Chad', continent='Africa', region='Central Africa', population=7651000, capital=3337}
Country{code='GIN', name='Guinea', continent='Africa', region='Western Africa', population=7430000, capital=926}
Country{code='CHE', name='Switzerland', continent='Europe', region='Western Europe', population=7160400, capital=3248}
Country{code='HKG', name='Hong Kong', continent='Asia', region='Eastern Asia', population=6782000, capital=937}
Country{code='BDI', name='Burundi', continent='Africa', region='Eastern Africa', population=6695000, capital=552}
Country{code='HND', name='Honduras', continent='North America', region='Central America', population=6485000, capital=933}
Country{code='SLV', name='El Salvador', continent='North America', region='Central America', population=6276000, capital=645}
Country{code='ISR', name='Israel', continent='Asia', region='Middle East', population=6217000, capital=1450}
Country{code='TJK', name='Tajikistan', continent='Asia', region='Southern and Central Asia', population=6188000, capital=3261}
Country{code='BEN', name='Benin', continent='Africa', region='Western Africa', population=6097000, capital=187}
Country{code='LBY', name='Libyan Arab Jamahiriya', continent='Africa', region='Northern Africa', population=5605000, capital=2441}
Country{code='PRY', name='Paraguay', continent='South America', region='South America', population=5496000, capital=2885}
Country{code='LAO', name='Laos', continent='Asia', region='Southeast Asia', population=5433000, capital=2432}
Country{code='SVK', name='Slovakia', continent='Europe', region='Eastern Europe', population=5398700, capital=3209}
Country{code='DNK', name='Denmark', continent='Europe', region='Nordic Countries', population=5330000, capital=3315}
Country{code='FIN', name='Finland', continent='Europe', region='Nordic Countries', population=5171300, capital=3236}
Country{code='JOR', name='Jordan', continent='Asia', region='Middle East', population=5083000, capital=1786}
Country{code='NIC', name='Nicaragua', continent='North America', region='Central America', population=5074000, capital=2734}
Country{code='GEO', name='Georgia', continent='Asia', region='Middle East', population=4968000, capital=905}
Country{code='SLE', name='Sierra Leone', continent='Africa', region='Western Africa', population=4854000, capital=3207}
Country{code='PNG', name='Papua New Guinea', continent='Oceania', region='Melanesia', population=4807000, capital=2884}
Country{code='KGZ', name='Kyrgyzstan', continent='Asia', region='Southern and Central Asia', population=4699000, capital=2253}
Country{code='TGO', name='Togo', continent='Africa', region='Western Africa', population=4629000, capital=3332}
Country{code='NOR', name='Norway', continent='Europe', region='Nordic Countries', population=4478500, capital=2807}
Country{code='HRV', name='Croatia', continent='Europe', region='Southern Europe', population=4473000, capital=2409}
Country{code='TKM', name='Turkmenistan', continent='Asia', region='Southern and Central Asia', population=4459000, capital=3419}
Country{code='MDA', name='Moldova', continent='Europe', region='Eastern Europe', population=4380000, capital=2690}
Country{code='CRI', name='Costa Rica', continent='North America', region='Central America', population=4023000, capital=584}
Country{code='BIH', name='Bosnia and Herzegovina', continent='Europe', region='Southern Europe', population=3972000, capital=201}
Country{code='PRI', name='Puerto Rico', continent='North America', region='Caribbean', population=3869000, capital=2919}
Country{code='NZL', name='New Zealand', continent='Oceania', region='Australia and New Zealand', population=3862000, capital=3499}
Country{code='ERI', name='Eritrea', continent='Africa', region='Eastern Africa', population=3850000, capital=652}
Country{code='IRL', name='Ireland', continent='Europe', region='British Islands', population=3775100, capital=1447}
Country{code='LTU', name='Lithuania', continent='Europe', region='Baltic Countries', population=3698500, capital=2447}
Country{code='CAF', name='Central African Republic', continent='Africa', region='Central Africa', population=3615000, capital=1889}
Country{code='SGP', name='Singapore', continent='Asia', region='Southeast Asia', population=3567000, capital=3208}
Country{code='ARM', name='Armenia', continent='Asia', region='Middle East', population=3520000, capital=126}
Country{code='ALB', name='Albania', continent='Europe', region='Southern Europe', population=3401200, capital=34}
Country{code='URY', name='Uruguay', continent='South America', region='South America', population=3337000, capital=3492}
Country{code='LBN', name='Lebanon', continent='Asia', region='Middle East', population=3282000, capital=2438}
Country{code='LBR', name='Liberia', continent='Africa', region='Western Africa', population=3154000, capital=2440}
Country{code='PSE', name='Palestine', continent='Asia', region='Middle East', population=3101000, capital=4074}
Country{code='COG', name='Congo', continent='Africa', region='Central Africa', population=2943000, capital=2296}
Country{code='PAN', name='Panama', continent='North America', region='Central America', population=2856000, capital=2882}
Country{code='MRT', name='Mauritania', continent='Africa', region='Western Africa', population=2670000, capital=2509}
Country{code='MNG', name='Mongolia', continent='Asia', region='Eastern Asia', population=2662000, capital=2696}
Country{code='JAM', name='Jamaica', continent='North America', region='Caribbean', population=2583000, capital=1530}
Country{code='OMN', name='Oman', continent='Asia', region='Middle East', population=2542000, capital=2821}
